Complex_word,Text,Candidates,Mu_legibilituy,Chatgpt_inferred_candidates,Gemini_inferred_candidates
labrarse,"A comienzos de la década de 1980, se trasladó a Los Ángeles, en California, donde comenzó a labrarse una reputación con sus actuaciones, tanto eléctricas como acústicas.","{'construirse': 4, 'trabajar': 1, 'ganarse': 2, 'formarse': 6, 'cultivar': 1, 'prepararse': 1, 'hacerse': 4, 'trabajarse': 1, 'forjarse': 2, 'hacerce': 1, 'crearse': 2}",47.04881483219901,"{'surgir': 1, 'forjarse': 1, 'crear': 1, 'construir': 1, 'cultivar': 1}","{'construir': 1, 'ganar': 1, 'forjar': 1, 'crear': 1, 'conseguir': 1}"
tertulias,"A lo largo de sus más de veinte años de experiencia en el medio, ha presentado todo tipo de programas, no sólo informativos, sino también divulgativos, de entrevistas, tertulias e incluso concursos.","{'conversaciones': 2, 'debates': 4, 'reunion': 1, 'charlas': 7, 'reunión': 2, 'conversación': 1, 'reuniones': 6, 'fiestas': 1, 'coloquios': 1}",38.5249465519533,"{'sobremesas': 1, 'charlas': 1, 'conversaciones': 1, 'discusiones': 1, 'pláticas': 1}","{'debates': 1, 'charlas': 1, 'coloquios': 1, 'conversaciones': 1, 'discusiones': 1}"
propiciado,"A pesar de las pocas bajas (menos de 500 en total) y de los inconclusos resultados tácticos, Valmy fue considerada como una de las quince batallas decisivas del mundo, porque una derrota francesa hubiera propiciado la decadencia de la Revolución francesa.","{'favorecido': 3, 'desencadenado': 3, 'favorido': 1, 'terminado en': 1, 'ayudado a': 1, 'causado': 2, 'facilitado': 1, 'hecho posible': 1, 'ayudado': 1, 'provocado': 5, 'motivado': 1, 'ocasionado': 1, 'incitado': 1, 'permitido': 1, 'fomentando': 1, 'predispuesto': 1}",57.15697747975711,"{'suscitado': 1, 'provocado': 1, 'fomentado': 1, 'ocasionado': 1, 'causado': 1}","{'causado': 1, 'provocado': 1, 'originado': 1, 'facilitado': 1, 'conducido': 1}"
decadencia,"A pesar de las pocas bajas (menos de 500 en total) y de los inconclusos resultados tácticos, Valmy fue considerada como una de las quince batallas decisivas del mundo, porque una derrota francesa hubiera propiciado la decadencia de la Revolución francesa.","{'caída': 11, 'decaimiento': 1, 'abatimiento': 1, 'deterioro': 1, 'debilitación': 4, 'derrota': 1, 'caida': 2, 'declive': 2, 'baja': 1, 'detrimento': 1}",57.15697747975711,"{'declive': 1, 'declinación': 1, 'decadencia': 1, 'degradación': 1, 'decaimiento': 1}","{'caída': 1, 'declive': 1, 'ruina': 1, 'deterioro': 1, 'debilitamiento': 1}"
caseríos,"Al igual que otros municipios cercanos a Toledo, la población se originó a partir de los caseríos que utilizaban los vecinos de la capital en las épocas de labor.","{'casas': 5, 'casales': 1, 'trabajos': 1, 'pueblitos': 1, 'burgos': 1, 'las casas': 2, 'domésticos': 1, 'caseríos': 1, 'hogares': 2, 'casar': 1, 'viviendas': 1, 'casonas': 1, 'aldeas': 3, 'domicilios': 1, 'vecindario': 1, 'métodos': 1, 'lugarejos': 1}",62.28390149002963,"{'sitios': 1, 'aldeas': 1, 'pueblos': 1, 'villas': 1, 'núcleos': 1}","{'cabañas': 1, 'chozas': 1, 'aldeas': 1, 'granjas': 1, 'casas': 1}"
postulados,"Al principio, su trabajo se centró en la fonología, pero más tarde derivó hacia un estructuralismo heredero de Ferdinand de Saussure, pero llevando sus postulados hasta sus últimas consecuencias.","{'ideales': 3, 'teorías': 3, 'supuesto': 1, 'trabajos': 1, 'ideas': 1, 'postulados': 3, 'proposiciones': 2, 'principios': 5, 'propuestas': 1, 'solicitudes': 1, 'premisas': 3, 'dogmas': 1}",44.88960341609348,"{'preceptos': 1, 'axiomas': 1, 'principios': 1, 'teoremas': 1, 'afirmaciones': 1}","{'afirmaciones': 1, 'principios': 1, 'teorías': 1, 'ideas': 1, 'hipótesis': 1}"
célebre,"Alberto Oliveras (Barcelona, octubre de 1929 - París, 13 de octubre de 2010) fue un periodista español célebre por sus programas de radio, especialmente el que llevaba por título ""Ustedes son formidables"" que estaba dedicado a la recaudación de fondos para causas sociales.","{'conocido': 10, 'famoso': 12, 'reconocido': 2, 'importante': 1}",54.23733333333332,"{'sobresaliente': 1, 'famoso': 1, 'renombrado': 1, 'ilustre': 1, 'afamado': 1}","{'famoso': 1, 'conocido': 1, 'popular': 1, 'reconocido': 1, 'distinguido': 1}"
recaudación,"Alberto Oliveras (Barcelona, octubre de 1929 - París, 13 de octubre de 2010) fue un periodista español célebre por sus programas de radio, especialmente el que llevaba por título ""Ustedes son formidables"" que estaba dedicado a la recaudación de fondos para causas sociales.","{'recolección': 5, 'recaudación': 1, 'cobranza': 1, 'búsqueda': 1, 'colecta': 12, 'colección': 1, 'recolecta': 2, 'recopilación': 1, 'reunión': 1}",54.23733333333332,"{'solicitud': 1, 'recolección': 1, 'obtención': 1, 'aporte': 1, 'adquisición': 1}","{'obtención': 1, 'recolección': 1, 'reunión': 1, 'consecución': 1, 'adquisición': 1}"
vecindario,"Allston es un vecindario (municipio) de Boston, en los Estados Unidos, ubicado en la parte occidental de la ciudad","{'barrio': 14, 'vecino': 1, 'lugar': 1, 'comunidad': 3, 'poblado': 2, 'una comunidad': 2, 'colonia': 1, 'población': 1}",55.38933640199463,"{'sitio': 1, 'barrio': 1, 'comunidad': 1, 'sector': 1, 'zona': 1}","{'barrio': 1, 'zona': 1, 'distrito': 1, 'sector': 1, 'urbanización': 1}"
remezclador,"Aparece como productor y remezclador de notables artistas en el panorama internacional como Madonna, Kylie Minogue, Missy Elliott, The Killers, Gwen Stefani, Seal, Keane, Pet Shop Boys, Take That, Scissor Sisters y Frankmusik.","{'dj': 7, 'remezclador': 9, 'combinador': 1, 'editor': 2, 'remixer': 2, 'revolvedor': 1, 'deejay': 1, 'recompositor': 1, 'la unión': 1}",70.56501175716117,"{'reproductor': 1, 'modificador': 1, 'mezclador': 1, 'fusionador': 1, 'adaptador': 1}","{'mezclador': 1, 'alterador': 1, 'modificador': 1, 'transformador': 1, 'manipulador': 1}"
